Purpose,"This file documents the filenames for ASIST Study 3, and inventories the files and quality control issues.",,,,,,,,,,,,,,,,,,,
Author,Jared Freeman and the ASU team,,,,,,,,,,,,,,,,,,,
Use,TA3 revises and publishes this document as a csv when new data are transferred to the ASIST data repository.,,,,,,,,,,,,,,,,,,,
,TA1 & TA2 performers should use this worksheet to assess the state of data in the ASIST repository and to interpret file names.,,,,,,,,,,,,,,,,,,,
References,The master version of this document is here: https://docs.google.com/spreadsheets/d/1PTPVqQ6JUC9IcgSB6dF9tTPIiYukVmkP237MBNyJDBo/edit#gid=1324771064,,,,,,,,,,,,,,,,,,,
,Data described below are available on GCS here: https://console.cloud.google.com/storage/browser/studies.aptima.com/study-3_2022,,,,,,,,,,,,,,,,,,,
,The study to which these files pertain is documented here: https://docs.google.com/document/d/1GF7VsNF9R95IAaj6mVZUDV2mAX5ok1Bh6Tcm8zDpIkg/edit#heading=h.gjdgxs,,,,,,,,,,,,,,,,,,,
,The researchers' laboratory notebook (available only to TA3): https://docs.google.com/document/d/1KMxxbdkZbCTmJwkK9wfsDyyruU1MPrB1Evvl11AhXwg/edit#heading=h.v16ui0ddz6nv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date Posted,Performer (Author),Valid,Condition ID,Agent Name,Team ID (significant issue in paranthese),Trial ID,Trial ID,Callsigns & Participant ID (UID),Map Order,Experiment Date,Experimenters,Notes,,,,,,,,
4/1/22,TA3,Yes,1,No Advisor,TM000207,T000613,T000614,Medic = E000601; Transporter = E000604; Engineer = E000627,A-B,4/1/2022,"XY,AT","All participants had the double-mouse issue and we restarted the lab computers to fix it. Participant found it's difficult to tell the threat room between C1 and C2 because it is on the border. There was an issue terminating the missions for the Training and competency tests. Malmo refreshed to fix it. Several minutes into mission 1, participant engineer’s marker blocks pictures are broken; so experimenter terminated the trial and restarted it. Once the mission started again, participants immediately talked about I4A has 3 critical victims. E000604 Transporter's OBVideo does not have any player's voice but has environment sound. T000614 trial, Engineer's individual audio file is silent. Starting from TM207, we will upload a file that contains all AC and ASI container logs. For example: HSRData_Log-none_Trial-na_Team-TM000207_Member-na_CondBtwn-none_CondWin-na_Vers-1.tar.gz In the human advisor interface for this trial and five others (TM000202, TM000204, TM000205, TM000207, TM000210, TM000212), the video underneath the red heading (first in the row) is the Engineer’s view though the Engineer is associated with Blue, and the video underneath the blue heading (third in the row) is actually the Medic’s view (associated with Red). We will fix it by notifying the human advisor, and possibly by literally labelling the monitor or editing the video prior to human advisor training.",,,,,,,,
4/8/22,TA3,Yes,1,No Advisor,TM000210,T000619,T000620,"Medic E000609, Transporter E000658, Engineer E000661",A-B,4/4/2022,MC/AC,"Used Server 1. We had to make Engineer restart their laptop because of issues connecting with Parsec. There are two training trials (the first one did not contain any training data) because AC noticed there was no wav file created for Medic. Transporter wav file missing from T000619. Transporter had consistent but minor echo in their audio. Transporter had lag periodically throughout (mostly second mission), but mostly at the end of M2, ""it probably cost 5-7 seconds"". Missing_HSRData_ClientAudio_Trial-T000619_Team-TM000210_Member-E000658_CondBtwn-none_CondWin-na_Vers-1.wav  In the human advisor interface for this trial and five others (TM000202, TM000204, TM000205, TM000207, TM000210, TM000212), the video underneath the red heading (first in the row) is the Engineer’s view though the Engineer is associated with Blue, and the video underneath the blue heading (third in the row) is actually the Medic’s view (associated with Red). We will fix it by notifying the human advisor, and possibly by literally labelling the monitor or editing the video prior to human advisor training.",,,,,,,,
4/8/22,TA3,Yes,1,No Advisor,TM000211,T000621,T000622,"Medic E000674, Transporter E000681, Engineer E000603",A-B,4/5/2022,AT/MW,"Used Server 1. Participants experienced the mouse issue initially - all comuters restarted. The lab laptop setting for Medic is incorrect that recorded background conversations, so it is not usable. The asr transcription of the background conversation is removed from the metadata file from all three trials. Medic's asr trascription is not picked up well on the metadata file either. Missing_HSRData_ClientAudio_Trial-T000621_Team-TM000211_Member-E000674_CondBtwn-none_CondWin-na_Vers-1.wav; Missing_HSRData_ClientAudio_Trial-T000622_Team-TM000211_Member-E000674_CondBtwn-none_CondWin-na_Vers-1.wav; Missing_HSRData_ClientAudio_Trial-Training_Team-TM000211_Member-E000674_CondBtwn-none_CondWin-na_Vers-1.wav",,,,,,,,
4/8/22,TA3,Yes,1,No Advisor,TM000212,T000623,T000624,"Medic E000611, Transporter E000664, Engineer E000671",A-B,4/5/2022,MC/XY,"Used Server 2. Audio data lost for transporter at training mission. Engineer participated in a prevously terminted experiment a few days ago and had gone through training videos once already. In the human advisor interface for this trial and five others (TM000202, TM000204, TM000205, TM000207, TM000210, TM000212), the video underneath the red heading (first in the row) is the Engineer’s view though the Engineer is associated with Blue, and the video underneath the blue heading (third in the row) is actually the Medic’s view (associated with Red). We will fix it by notifying the human advisor, and possibly by literally labelling the monitor or editing the video prior to human advisor training.",,,,,,,,
4/8/22,TA3,Yes,1,No Advisor,TM000213,T000625,T000626,"Medic E000693, Transporter E000667, Engineer E000697",A-B,4/6/2022,JC/XY,Used Server 1. All three had mouse issue but ok after restart. Individual audio data lost for Medic in T000625. T000625 has started once after about 30 seconds becasue the human advisor had difficulty connecting to the view. Missing_HSRData_ClientAudio_Trial-T000625_Team-TM000213_Member-E000693_CondBtwn-none_CondWin-na_Vers-1.wav. E000697 from team TM000213 may not have been wearing headphones. In both trials in which this person participated (T000625 and T000626) the audio from both of this person's teammates could be heard throughout.,,,,,,,,
4/8/22,TA3,Yes,1,No Advisor,TM000214,T000627,T000628,"Medic E000659, Transporter E000686, Engineer E000669",A-B,4/6/2022,MC/MW,Used Server 2.  All three had mouse issue but ok after restart.  Green could not connect from her end at a different university- it was possibly being blocked by another university firewall.  Her university does not have vpn to get out; but later she resorted to using her mobile hotspot to connect.  No lag issues.  Individual audio for Green in training trial was not generated on winscp and is lost: Missing_HSRData_ClientAudio_Trial-Training_Team-TM000214_Member-E000686_CondBtwn-none_CondWin-na_Vers-1.wav,,,,,,,,
4/11/22,TA3,Yes,1,No Advisor,TM000216,T000631,T000632,"Medic E000689, Transporter E000702, Engineer E000696",A-B,4/7/22,AT/AC,"Used Server 1. All computers experienced the mouse issue - computers were restarted. Engineer mentioned she was experiencing a latency issue - lab computer restarted a second and third time. Transporter went missing in action and response for approximately 10 mins after/during the training video (Transporter E000702 particiated in an earlier terminated session today and had already finished the training video). Returned after. Engineer E000696 had network connectivity issues initially - she changed her network. No mouse issue after. M1 restarted as transporter didnt choose his role before the mission started. Engineer's compentency was low, she didnt have good sense of direction, and struggled with navigating the minecraft character.",,,,,,,,
4/11/22,TA3,Yes,1,No Advisor,TM000217,T000633,T000634,"Medic E000682, Transporter E000687, Engineer E000699",A-B,4/8/22,AT/XY,"Used Server 1. The engineer had a secondary monitor attached which caused a parsec issue. Disconnected the monitor and reconnected to parsec. Mission 1 had difficulty ending, so we started Mission 2 and then quickly (about 3 seconds) end Mission 2 without participants entering the world in order to end Mission 1.",,,,,,,,
4/11/22,TA3,Yes,1,No Advisor,TM000218,T000635,T000636,"Medic E000654, Transporter E000677, Engineer E000698",A-B,4/8/22,AT/MW,Used Server 2.  Training audio data for Engineer did not show up in WINSCP. Missing_HSRData_ClientAudio_Trial-Training_Team-TM000218_Member-E000698_CondBtwn-none_CondWin-na_Vers-1.wav,,,,,,,,
4/11/22,TA3,Yes,1,No Advisor,TM000219,T000637,T000638,Medic E000638 Transporter E000680 Engineer E000704,A-B,4/9/22,MC/AC,"Used Server 1. No mouse issue following new procedure. Medic reported that he finished the training video within 7 minutes of starting (he was also part of a terminated experiment as a medic) and was instructed to watch again when other participants are still watching. Medic disconnected from the server by accident at around 3 minutes into the individual hands-on training, so we had to restart the training mission.",,,,,,,,
